Country Code,Country,GHG
ABW,Aruba,5.451077803559
AFG,Afghanistan,0.79563680370105
AGO,Angola,1.8767731910522
AIA,Anguilla,1.627197900356
ALB,Albania,2.4174789844322
ANT,Curaçao,14.926140058139
ARE,United Arab Emirates,25.618114027903
ARG,Argentina,7.9485435461309
ARM,Armenia,3.6693585040827
ATG,Antigua and Barbuda,3.8804636221264
AUS,Australia,22.257703709477
AUT,Austria,8.0135331275054
AZE,Azerbaijan,5.613000608942
BDI,Burundi,0.62717634866341
BEL,Belgium,9.1500356595377
BEN,Benin,1.3197929501302
BFA,Burkina Faso,1.4954707422427
BGD,Bangladesh,1.2502149724876
BGR,Bulgaria,6.9201741088247
BHR,Bahrain,35.126596013992
BHS,Bahamas,4.3797449352411
BIH,Bosnia and Herzegovina,7.9730632804971
BLR,Belarus,9.3713968751632
BLZ,Belize,2.4118510891434
BMU,Bermuda,5.0946205382937
BOL,Bolivia,5.226856667969
BRA,Brazil,5.927403748663
BRB,Barbados,3.1558977895174
BRN,Brunei,25.572172544798
BTN,Bhutan,3.2293646876741
BWA,Botswana,4.6963235988925
CAF,Central African Republic,2.5049915363092
CAN,Canada,19.760700861404
CHE,Switzerland and Liechtenstein,4.830068613668
CHL,Chile,6.2231114681894
CHN,China,10.811534962181
CIV,Côte d’Ivoire,1.3167138892417
CMR,Cameroon,1.4182618502904
COD,Democratic Republic of the Congo,0.57820967760676
COG,Congo,3.9121427486101
COK,Cook Islands,6.5930174197842
COL,Colombia,4.2203764858735
COM,Comoros,1.0035825452858
CPV,Cabo Verde,1.5337217615179
CRI,Costa Rica,3.2783398506944
CUB,Cuba,3.1262025152277
CYM,Cayman Islands,6.0587543814174
CYP,Cyprus,7.5348229942216
CZE,Czechia,9.4501229609109
DEU,Germany,8.1734458858165
DJI,Djibouti,2.2913218691356
DMA,Dominica,2.0046960097812
DNK,Denmark,6.4965414794495
DOM,Dominican Republic,4.4728406593279
DZA,Algeria,5.5231350320214
ECU,Ecuador,4.0760641246154
EGY,Egypt,3.5209310425096
ERI,Eritrea,1.1094870133485
ESH,Western Sahara,1.1244862744153
ESP,Spain and Andorra,6.1631709801735
EST,Estonia,10.995487812516
ETH,Ethiopia,1.5612665417044
EU27,EU27,7.1378475703047
FIN,Finland,8.6111791919372
FJI,Fiji,2.907926860276
FLK,Falkland Islands,57.63165240431
FRA,France and Monaco,5.675349948111
FRO,Faroes,1.8944460387599
GAB,Gabon,9.3605465500633
GBR,United Kingdom,5.625074065074
GEO,Georgia,5.098263901098
GHA,Ghana,1.4435691230651
GIB,Gibraltar,18.825843626939
GIN,Guinea,1.9293257544095
GLOBAL TOTAL,GLOBAL TOTAL,6.5615314537219
GLP,Guadeloupe,3.2414083977789
GMB,The Gambia,0.7246707534827
GNB,Guinea-Bissau,1.454005130068
GNQ,Equatorial Guinea,5.1154631947701
GRC,Greece,6.5136262590632
GRD,Grenada,2.1710893581993
GRL,Greenland,11.565870723086
GTM,Guatemala,2.2593507660392
GUF,French Guiana,1.760541101117
GUY,Guyana,10.832334771743
HKG,Hong Kong,5.2170660165271
HND,Honduras,2.3651508867471
HRV,Croatia,6.6704346597112
HTI,Haiti,1.1613978846582
HUN,Hungary,6.3782334734246
IDN,Indonesia,4.6879806457244
IND,India,3.0384144187064
IRL,Ireland,11.862021099528
IRN,Iran,12.237673413239
IRQ,Iraq,8.9784145357978
ISL,Iceland,12.131474969371
ISR,"Israel and Palestine, State of",5.073258144422
ITA,"Italy, San Marino and the Holy See",6.3202906839474
JAM,Jamaica,3.2155238528156
JOR,Jordan,3.3076233553564
JPN,Japan,8.520592400336
KAZ,Kazakhstan,16.980693112866
KEN,Kenya,1.7512372161547
KGZ,Kyrgyzstan,3.3866708544939
KHM,Cambodia,2.8316810566075
KIR,Kiribati,0.88606394991057
KNA,Saint Kitts and Nevis,3.1981335020013
KOR,South Korea,12.827928339852
KWT,Kuwait,38.136566929278
LAO,Laos,5.5098312666416
LBN,Lebanon,3.3010568662789
LBR,Liberia,0.7918871704147
LBY,Libya,14.096909264326
LCA,Saint Lucia,2.5602238944108
LKA,Sri Lanka,1.7443344705293
LSO,Lesotho,1.2530620044006
LTU,Lithuania,7.6885780484096
LUX,Luxembourg,12.702945457352
LVA,Latvia,6.372407690425
MAC,Macao,2.6301948371946
MAR,Morocco,2.8086380922299
MDA,Moldova,2.943278088769
MDG,Madagascar,1.1653035037743
MDV,Maldives,4.3251508048429
MEX,Mexico,4.9145535370345
MKD,North Macedonia,4.6970303182744
MLI,Mali,2.1050824145427
MLT,Malta,5.1224183276859
MMR,Myanmar/Burma,2.0816403289553
MNG,Mongolia,30.993455883998
MOZ,Mozambique,0.93109569698093
MRT,Mauritania,3.3110099592748
MTQ,Martinique,3.1215779367976
MUS,Mauritius,5.0480466435841
MWI,Malawi,0.83978124409504
MYS,Malaysia,9.6154820687137
