IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,Country Code,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,Language,DateModified
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2003,False,Sex,Both sexes,SEX_BTSX,10.03,9.42,10.71,10.0 [9.4-10.7],EN,2024-08-01T16:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,AGO,Angola,Year,2006,False,Sex,Male,SEX_MLE,46.06,45.24,47.01,46.1 [45.2 – 47.0],EN,2024-08-01T16:00:00.000Z
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,EUR,Europe,Country,ALB,Albania,Year,2007,False,Sex,Both sexes,SEX_BTSX,15.35,14.8,15.87,15.4 [14.8-15.9],EN,2024-08-01T16:00:00.000Z
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2004,False,Sex,Female,SEX_FMLE,15.2,14.48,15.9,15.2 [14.5-15.9],EN,2024-08-01T16:00:00.000Z
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,AMR,Americas,Country,ARG,Argentina,Year,2021,True,Sex,Female,SEX_FMLE,16.37,15.76,17.14,16.4 [15.8-17.1],EN,2024-08-01T16:00:00.000Z
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,EUR,Europe,Country,ARM,Armenia,Year,2012,False,Sex,Female,SEX_FMLE,16.13,15.58,16.67,16.1 [15.6-16.7],EN,2024-08-01T16:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Sex,Both sexes,SEX_BTSX,65.32,64.72,65.96,65.3 [64.7 – 66.0],EN,2024-08-01T16:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,WPR,Western Pacific,Country,AUS,Australia,Year,2011,False,Sex,Both sexes,SEX_BTSX,69.66,68.84,70.44,69.7 [68.8 – 70.4],EN,2024-08-01T16:00:00.000Z
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,EUR,Europe,Country,AUT,Austria,Year,2017,False,Sex,Female,SEX_FMLE,18.93,18.39,19.65,18.9 [18.4-19.7],EN,2024-08-01T16:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2007,False,Sex,Male,SEX_MLE,59.9,59.39,60.57,59.9 [59.4 – 60.6],EN,2024-08-01T16:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,BDI,Burundi,Year,2013,False,Sex,Both sexes,SEX_BTSX,53.91,53.17,54.89,53.9 [53.2 – 54.9],EN,2024-08-01T16:00:00.000Z
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,EUR,Europe,Country,BEL,Belgium,Year,2016,False,Sex,Male,SEX_MLE,16.95,16.43,17.56,16.9 [16.4-17.6],EN,2024-08-01T16:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,BEN,Benin,Year,2006,False,Sex,Male,SEX_MLE,51.04,50.19,51.91,51.0 [50.2 – 51.9],EN,2024-08-01T16:00:00.000Z
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2002,False,Sex,Male,SEX_MLE,45.33,44.51,46.36,45.3 [44.5 – 46.4],EN,2024-08-01T16:00:00.000Z
WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2008,False,Sex,Male,SEX_MLE,13.34,12.78,13.82,13.3 [12.8-13.8],EN,2024-08-01T16:00:00.000Z
